idiom,num_contexts,contexts
a  veces ,326,"Por  lo  tanto ,  a  veces  los  datos  que  están  disponibles  para  la  recopilación  impactan  la  estrategia  en  línea . ||| Ella  se  acredita  a  veces  como  "" Christina  Tucci "" . ||| Un  popular  escritor  de  la  época  fue  Unno  Juza ,  a  veces  llamado  "" el  padre  de  la  ciencia  ficción  japonesa "" . ||| A  pesar  de  que  los  sistemas  de  salud  en  Polonia  son  gratuitos  para  las  personas  cubiertas  con  seguro  de  salud,​  a  veces  estos  son  lentos . ||| El  evento  de  Tunguska  se  explica  a  veces  de  esta  manera . ||| Este  desempeño  se  utiliza  a  veces  en  lugar  del  vídeo  principal . ||| De  hecho ,  a  veces  debe  elegir  deliberadamente  el  mal . ||| Hannah  también  a  veces  intenta  usar  su  doble  personalidad  como  excusa . ||| Ella  es  también  muy  adinerada  y  a  veces  puede  encontrarse  ayudando  a  Kotaro  con  Chinami . ||| El  presidente  Polk  a  veces  discutía  asuntos  de  política  con  ella ."
en  vivo ,68,"Escuché  a  Plácido  Domingo  cantar  en  vivo  durante  un  concierto  en  México .  I  heard  Plácido  Domingo  live  at  a  concert  in  Mexico . ||| En  la  BBC ,  Badawi  trabajó  como  presentadora  y  reportera  de  los  programas  políticos  en  vivo  de  Westminster  durante  cinco  años . ||| La  versión  en  vivo  de  "" It’s  Not  Me ""  se  presentó  en  el  EP  "" Another  700  Miles "" . ||| En  mi  corazón ,  también  sentí  que  todo  esto  sucedió  porque  hubo  una  transmisión  en  vivo  en  ese  momento "" ,  dijo  el  primer  ministro . ||| También  hubo  reportes  en  vivo  desde  Haití . ||| En  ese  verano ,  Pay  money  To  my  Pain  realizó  su  show  en  vivo  "" House  of  Chaos "" . ||| « If  You  Were  a  Woman  ( And  I  Was  a  Man ) » ,  fue  presentado  en  vivo  en  Zaragoza ,  España ,  en  2005 . ||| Existen  videos  en  vivo  de  "" Head  Like  a  Hole ""  en  los  DVD  And  All  That  Could  Have  Been  y  Beside  You  in  Time . ||| El  espectáculo  fue  seguido  en  2007  con  una  adaptación  en  vivo  de  la  serie ,  Walking  with  Dinosaurs :  The  Arena  Spectacular . ||| Sin  embargo ,  la  programación  semanal  en  vivo  resultó  ser  una  carga  financiera  para  la  WWF ."
la  marca ,65,"Además ,  el  grupo  también  posee  la  marca  de  cosméticos  Red  Earth . ||| Sanlam  ya  operaba  los  Teatros  Ster  y  Ster  Films  bajo  la  marca  Ster . ||| Sin  embargo ,  los  camiones  Iveco  comenzaron  a  ser  vendidos  bajo  la  marca  Magirus  en  Alemania  y  otros  mercados  europeos  y  de  Oriente  Medio  hasta  finales  de  los  1980s . ||| El  grado  del  Arco  Real  Sagrado ,  fue  introducido  legítimamente  en  1929  y  el  grado  de  la  marca  en  1946 . ||| Será  vista ,  en  retrospectiva ,  como  la  marca  del  fin  de  una  era . ||| También  en  la  marca  de  2:04  de  la  banda  de  metal  Steel  Panther  se  ven  en  frente  de  la  escuela . ||| En  Europa ,  los  afiliados  a  la  marca  Maestro  de  MasterCard  ( que  es  una  tarjeta  de  débito  en  lugar  de  una  tarjeta  de  crédito ) ,  sustituyó  a  la  marca  Europea  Eurocheque  para  las  tarjetas  de  pago  en  el  año  2002 . ||| ( Honda  revivió  la  marca  ' Crossroad '  en  otro  pequeño  vehículo  deportivo  en  2007 ) . ||| Como  resultado ,  la  lealtad  a  la  marca  es  el  objetivo  final  de  muchas  empresas . ||| En  el  Reino  Unido  y  la  Unión  Europea ,  la  marca  registrada  pertenece  a  F.T.  Wood  &  Sons  Limited ."
en  marcha ,65,"En  mayo  de  2007 ,  la  página  Marry  Me  Jodie  Marsh  se  puso  en  marcha  "" Me  voy  a  casar  éste  septiembre ... ||| En  noviembre  de  2005  el  32CSM  puso  en  marcha  una  iniciativa  política  llamada  Democracia  Irlandesa ,  un  marco  para  la  unidad . ||| Otras  redes  regionales  también  empezaron  a  poner  en  marcha  la  televisión  en  sus  propias  áreas . ||| Para  hacer  frente  a  la  creciente  controversia ,  K-1  puso  en  marcha  una  investigación  para  estudiar  las  acusaciones  contra  Akiyama . ||| Fue  sustituido  así  por  Tabacci ,  quien  también  dejó  en  2009  para  poner  en  marcha  Alianza  por  Italia  ( API ) . ||| La  compañía  puso  en  marcha  la  estrategia  "" make.believe ""  en  los  Estados  Unidos  en  enero  de  2010 . ||| Corea  del  Sur  puso  en  marcha  una  red  WiMAX  en  el  segundo  trimestre  de  2006 . ||| En  enero  de  2009  Almah  puso  en  marcha  el  nuevo  clip  de  vídeo  Más  allá  de  mañana . ||| Varios  años  después ,  a  medida  que  el  grupo  comienza  a  repoblar  su  nuevo  hogar ,  se  descubre  que  un  terremoto  activará  el  Sistema  de  Reacción  Automática  ( ARS )  y  pondrá  en  marcha  el  arsenal  nuclear  de  los  Estados  Unidos . ||| Sus  contratos  con  los  contactos  europeos  expiró  en  1826 ,  y  decidieron  poner  en  marcha  su  propio  negocio ."
a  punto ,64,"« Los  Athletic-Real  Madrid  están  a  punto  de  cumplir  97  años » . ||| El  Cine  mexicano  en  general  estaba  a  punto  de  comenzar  su  estrepitoso  declive . ||| Sin  embargo  Pittsburgh ,  estaba  a  punto  de  pasar  a  través  de  sus  más  dramáticas  transformaciones . ||| Hombre  Enésimo  -  Estaba  a  punto  de  destruir  lo  que  quedaba  del  Proyecto . ||| Cuando  las  armas  nucleares  están  a  punto  de  activarse ,  el  Doctor  Trece  usa  su  magia  para  destruirlas . ||| La  cocción  era  una  buena  forma  de  preparar  el  pan  si  el  grupo  estaba  a  punto  de  viajar  algún  tiempo . ||| Peor  aún ,  sus  vidas  estaban  a  punto  de  terminar  debido  a  una  falla  en  el  procedimiento  de  clonación . ||| La  campaña  de  1800  estaba  a  punto  de  llegar  a  su  punto  álgido  cuando  Desaix  finalmente  llegó  a  Italia . ||| Luego ,  en  el  2003 ,  cuando  mi  padre  estaba  a  punto  de  morir ,  me  llegó  el  guion  desde  Kennedy . ||| Alex  reconoce  que  Thomas  es  el  hombre  a  punto  de  ser  ahorcado ,  y  lo  libera  usando  una  pistola ."
con  todos ,56,"También  disfruta  cantando  y  bailando  con  todos  sus  amigos  en  el  árbol  del  mundo . ||| Cuenta  con  todos  los  aspectos  de  combate  de  wushu . ||| Sin  embargo ,  se  han  obtenido  muchos  resultados  impresionantes  con  todos  los  enfoques  holográficos . ||| La  interfaz  vacía ,  interface  { } ,  es  compatible  con  todos  los  tipos . ||| Es  lo  mismo  con  todos  los  pensamientos  y  todos  los  sistemas  de  pensamiento . ||| La  Junta  es  responsable  de  establecer  las  orientaciones  principales  de  CDPQ  y  garantizar  que  la  Caisse  funcione  de  acuerdo  con  todos  los  requisitos  legislativos  y  reglamentarios . ||| Un  número  igual  de  humanos  y  computadoras  jugó  un  torneo  suizo  de  6  rondas  con  todos  los  juegos  entre  humanos  y  computadoras . ||| Nuestras  vidas  estaban  alimentadas  por  el  alcohol  y  la  cocaína ,  y  así  era  con  todos  los  que  estaban  dentro  de  nuestra  esfera ... ||| Sin  embargo ,  ha  sido  restaurada ,  se  mantiene  con  todos  sus  símbolos  religiosos  intactos ,  y  es  utilizada  actualmente  por  la  Municipalidad  de  Kos  para  varios  eventos ,  principalmente  culturales . ||| Utilizaba  también  anno  Mundi  junto  con  todos  estos  términos  para  todos  los  años ."
al  principio ,55,"Si  bien  al  principio  los  escritos  estaban  destinados  solamente  a  los  niños  de  los  asentamientos  militares  en  la  India ,  el  público  británico  también  los  recibió  con  entusiasmo . ||| Esto  se  hace  al  principio  del  juego ,  mientras  que  dar  un  tutorial  de  lo  que  los  controles  se  necesitarán  durante  las  etapas  futuras . ||| Recuerdo  que  Jon  Peters  estaba  muy  escéptico  al  principio  a  contratarme . "" ||| Y  trabajaba  muy  duro  en  ello ,  y  al  principio  teníamos  ocho  capítulos  en  el  libro . ||| A  pesar  de  la  tensión  que  al  principio  había ,  ella  y  Sara  Sidle  a  menudo  trabajan  juntas  en  el  campo . ||| También  tuvo  una  pequeña  parte  al  principio  de  BioShock  como  Johnny . ||| Se  dice  que  elPadre  Cooper  no  se  dio  cuenta  al  principio  que  su  corresponsal  tenía  solo  19  o  20  años . ||| Para  estos  nativos  a  los  japoneses  al  principio  había  una  palabra  amable  y  una  sonrisa . ||| Todas  las  leyes  y  otras  disposiciones  creadas  al  principio  de  la  reforma  monetaria  entraron  en  vigor . ||| En  quinto  lugar ,  los  conservadores  prestan  atención  al  principio  de  la  variedad ."
En  otras  palabras,54,"En  otras  palabras ,  creía  que  Rusia  debería  esperar  a  pasar  el  mismo  desarrollo  histórico  experimentado  por  Occidente . ||| "" En  otras  palabras ,  yo  sabía  algo  que  nadie  más  sabía ,  pero  no  tengo  el  reconocimiento  de  esto , ""  Sklansky  es  citado  diciendo  en  Al  Alvarez  de  1983 ,  El  Juego  más  Grande  en  la  Ciudad . ||| En  otras  palabras ,  mirábamos  a  una  locación  y  decíamos :  si ,  pero  en  México  habría  esto  y  esto . ||| En  otras  palabras ,  frontera  del  mundo  físico ,  el  número  137  emerge . ||| En  otras  palabras ,  ¿ tienen  buenas  razones  para  convertirse  en  « feministas  de  género » ? ||| En  otras  palabras ,  este  juego  tiene  "" dificultad  adaptativa "" . ||| En  otras  palabras ,  aún  dependían  de  los  nobles ,  no  legalmente ,  sino  económicamente . ||| En  otras  palabras ,  los  joseki  son  sensibles  al  contexto  en  el  que  se  juegan . ||| En  otras  palabras ,  debe  responder  adiabáticamente  a  su  entorno . ||| En  otras  palabras ,  cuando  se  requiere  atención  para  una  tarea ,  estamos  conscientemente  conscientes  y  en  control ."
por  completo ,50,"A  partir  de  ese  momento ,  Albert  Thomas  se  entregó  por  completo  a  la  labor  de  la  OIT . ||| Sin  embargo ,  Corea  del  Norte  no  se  encuentra  aislada  por  completo  de  la  economía  global ,  ya  que  recibe  ayuda  de  otros  países  a  cambio  de  paz  y  restricciones  en  su  programa  nuclear . ||| Se  tarda  unos  5  años  para  que  los  síntomas  progresan  por  completo  a  un  estado  debilitante . ||| Como  resultado ,  a  García  II  se  le  impidió  consolidar  por  completo  su  autoridad . ||| Después  de  la  guerra ,  las  relaciones  entre  Corea  y  Japón  fueron  suspendidas  por  completo  hasta  1609 . ||| También  debería  ser  notado  que  ninguna  parte  de  la  banda  de  la  señal  de  entrada  será  amplificada  por  completo  a  45dB. ||| No  podía  identificarme  por  completo  con  ningún  grupo . ||| El  oleoducto  probablemente  se  rompió  por  completo  el  30  de  julio  de  2004 ,  cuando  el  operador  FLUXYS  elevó  la  presión . ||| El  3  de  julio  la  frontera  estaba  cerrada  por  completo  en  el  lado  soviético . ||| Nueve  hombres  fueron  electrocutados  antes  de  que  el  estado  prohibiera  la  pena  de  muerte  por  completo  en  1965 ."
la  Marina ,49,"Esta  versión  entró  en  servicio  en  1983​  con  la  Marina  de  Estados  Unidos  y  algunos  clientes  de  exportación . ||| Todos  los  sistemas  de  la  Marina  han  sido  retirados ;  Algunos  de  los  sistemas  iraníes  todavía  están  en  servicio . ||| En  este  caso ,  las  chicas  recibe  ayuda  de  la  Marina  de  los  Estados  Unidos  para  resolver  el  misterio . ||| Para  ese  momento ,  la  Marina  Real  ya  había  retirado  28000  tropas  británicas  no  combatientes . ||| Las  autoridades  de  la  ciudad  y  representantes  de  la  Marina  de  Ucrania  se  negaron  a  comentar  sobre  el  evento . ||| La  guerra  de  minas  de  la  Marina  y  la  capacidad  de  contramedidas  se  consideraban  adecuadas  en  1990 . ||| Hasta  ese  momento ,  la  Marina  había  estado  dominada  por  el  idioma ,  las  costumbres  y  las  tradiciones  italianas . ||| Así  equipado ,  la  Marina  ordenó  otras  365  unidades . ||| Comenzaron  con  un  total  de  1400  empleados ,  la  producción  de  componentes  de  combustible  de  reactores  nucleares  para  el  programa  nuclear  de  la  Marina  de  los  Estados  Unidos . ||| A  principios  de  febrero  de  1847  los  ciudadanos  y  oficiales  de  la  Marina  de  San  Francisco  financiaron  un  grupo  de  rescate ."
el  mar ,49,"Hoy  día ,  ¡ el  mar  Muerto  será  anexado  en  la  práctica  al  Estado  de  Israel ! ||| Esta  es  la  razón  de  que  una  armada  prefiera  el  mar  abierto . ||| Estos ,  a  su  vez ,  entran  en  el  mar  de  China  Meridional  a  través  de  nueve  estuarios . ||| Pero  el  mar  siguió  y  todos  tuvieron  miedo . ||| La  aventura  lleva  a  Justin  a  cruzar  el  mar  hasta  encontrar  nuevos  continentes  e  incluso  más  allá  del  conocido  como  fin  del  mundo . ||| 6 )  hubiese  partido  el  mar  para  nosotros . ||| Sin  embargo ,  fósiles  marinos  también  han  sido  encontrados  en  esta  formación ,  sugiriendo  que  el  mar  estaba  cerca . ||| Sin  embargo ,  durante  1913  el  mar  permaneció  completamente  helado . ||| Las  batallas  de  Latakia  y  Baltim  « cambiaron  drásticamente  la  situación  operacional  en  el  mar  a  favor  de  Israel » . ||| Aproximadamente  1.400  días  en  el  mar  son  necesarios  para  cumplir  estas  tareas  todos  los  años ."
Hoy  en  día ,46,"Hoy  en  día  se  llama  pensamiento  positivo "" . ||| Hoy  en  día  un  telegrama ,  nuevamente  entre  Nueva  York  y  Buenos  Aires ,  demora  un  día ;  el  costo  es  de  53  centavos  o  un  dólar  por  palabra . ||| Hoy  en  día  el  15  por  ciento  de  los  dispositivos  electrónicos  y  equipos  son  reciclados  en  los  Estados  Unidos . ||| ¿ Hoy  en  día  es  fiable  la  palabra  de  un  estadounidense ?  ... ||| Hoy  en  día  alrededor  de  un  90%  de  las  comunas  y  departamentos  son  exactamente  aquellas  mismas  que  fueron  designadas  en  los  tiempos  de  la  Revolución  francesa  más  de  200  años  atrás ,  con  los  mismos  límites . ||| Hoy  en  día  quedan  19  hofjes  en  Haarlem ;  muchos  abiertos  al  público  los  fines  de  semana . ||| Hoy  en  día  algunos  de  estos  castillos  están  ocupados  por  dacoits  y  son  una  causa  de  preocupación  para  la  policía  local . ||| Hoy  en  día  la  Rada  se  ve  a  sí  misma  como  portadora  de  un  mandato  simbólico  y  como  garante  de  la  independencia  de  Bielorrusia . ||| Hoy  en  día  se  utiliza  activamente  para  recepciones  y  otros  eventos  en  los  jardines . ||| ( Hoy  en  día  se  sabe  que  una  tercera  estrella  gira  alrededor  de  estas  dos  estrellas ) ."
en  condiciones ,46,"Hoy ,  el  UFW  solo  consta  de  cinco  mil  miembros  que  trabajan  en  condiciones  muy  similares  y  bajas  como  lo  hicieron  hace  40  años . ||| Los  P.11a  estaban  en  condiciones  aún  peores . ||| Según  Human  Rights  Watch ,  los  trabajadores  migrantes  en  Dubai  viven  en  condiciones  « inhumanas » . ||| En  esta  situación  de  vacío  de  soberanía ,  piensa ,  la  soberanía  podría  ser  inmediatamente  adquirida  por  cualquier  estado  que  estaba  en  condiciones  de  ejercer  un  control  eficaz  y  estable  sin  recurrir  a  medios  ilegales . ||| No  hay  problemas  de  plagas  porque  en  condiciones  frías  estas  no  pueden  desarrollarse . ||| Este  proyecto  involucró  a  prisioneros  de  guerra ,  principalmente  de  Yugoslavia  y  la  Unión  Soviética ,  en  la  construcción  de  este  camino  en  condiciones  extremadamente  duras . ||| Sin  embargo ,  Chipre  no  estaba  en  condiciones  de  cumplir  su  verdadera  ambición ,  la  recuperación  de  la  Tierra  Santa . ||| La  compañía  todavía  existe  y  posee  barcos  en  condiciones  de  trabajo . ||| A  finales  de  2010 ,  se  sabía  que  al  menos  un  VF-5D  estaba  en  condiciones  de  vuelo ;  se  desconoce  si  más  aviones  están  en  condiciones  operativas . ||| Murió  en  la  Ciudad  de  Soyapango  en  el  año  de  1987 ,  en  condiciones  de  extrema  pobreza ."
el  mar,45,"Nuestra  casa  tenía  unas  veinte  habitaciones ,  y  nosotros ,  los  niños ,  podíamos  bajar  a  nadar  en  el  mar . ||| En  tiempos  de  paz ,  la  Armada  de  Bélgica  tiene  las  siguientes  funciones :  Garantizar  la  presencia  de  Bélgica  en  el  mar . ||| También  había  perdido  a  su  padre ,  madre  y  cuatro  hermanos  en  el  mar . ||| También  recuperaron  una  sección  de  15  metros  del  avión  desde  el  mar . ||| Polibio  ( 3.42.1 )  identificó  el  sitio  de  la  batalla  como  a  cuatro  días  de  marcha  desde  el  mar . ||| Esta  iniciativa  se  convirtió  en  un  éxito ,  lo  que  le  animó  a  realizar  mediciones  en  el  mar . ||| Se  ve  a  Jason  alejándose  con  el  Jeep  y  comentando  "" Eh ,  muchos  peces  en  el  mar . "" ||| En  el  2002 ,  un  paseo  de  dos  hectáreas  fue  diseñada  entre  el  parque  y  el  mar . ||| Según  un  reporte  reciente ,  la  vida  marina  de  Escocia  será  casi  eliminada  dentro  de  cincuenta  años  a  menos  que  se  realicen  acciones  para  controlar  el  modo  en  que  los  seres  humanos  aprovechan  el  mar . ||| El  lema  de  la  línea  era  Per  Mare  Ubique  ( a  todas  partes  por  el  mar ) ."
de  alguna  manera ,44,"Sin  embargo ,  Robert  fue  desenmascarado  de  alguna  manera  en  esta  realidad . ||| ¿ Ayudó  de  alguna  manera  a  traer  la  paz  a  Oriente  Próximo ? ||| Facebook  es  un  medio  en  el  que  la  privacidad  es ,  o  al  menos  se  cree  que  es ,  de  alguna  manera  crucial  ... ||| Melanie  es  incapaz  de  entender  las  razones  de  esta  reacción  pero  teme  que  de  alguna  manera  ha  hecho  daño  a  su  amiga . ||| En  este  juego ,  él  puede  volar  de  alguna  manera  sin  cambiar  a  un  animal . ||| Pero  es  claro  que ,  obviamente ,  el  hermano  mayor  de  alguna  manera  influyó  en  su  decisión  final  ( tal  vez  porque  tenía  una  hija  pequeña ) . ||| Es  como  las  nueces  en  los  helados  de  Ben  and  Jerry's :  está  tan  mezclado  que  de  alguna  manera  lo  esperamos . ||| Los  poderes  de  Belasco  de  alguna  manera  están  vinculados  a  los  de  Magik . ||| Los  servicios  religiosos  a  pesar  de  la  represión  organizada  por  las  autoridades ,  de  alguna  manera  continuaron  hasta  1937 . ||| Él  de  alguna  manera  mantendría  un  alto  estatus  entre  los  seres  del  planeta  Venus ."
